703	Aliana	397	681
704	Wren	397	807
705	Amiya	396	637
706	Isis	396	575
707	Zaniyah	396	779
708	Avah	393	785
709	Amia	392	988
710	Cindy	391	789
711	Eileen	391	748
712	Kayden	391	762
713	Madyson	391	660
714	Celine	389	780
715	Aryana	388	746
716	Everleigh	388	865
717	Isabela	387	667
718	Reyna	386	725
719	Teresa	386	657
720	Jolene	385	926
721	Marjorie	385	910
722	Myah	385	655
723	Clare	383	727
724	Claudia	383	661
725	Leanna	382	698
726	Noemi	382	743
727	Corinne	381	739
728	Simone	381	675
729	Alia	380	724
730	Brenda	380	634
731	Dorothy	380	808
732	Emilie	380	561
733	Elin	379	815
734	Tori	378	697
735	Martha	377	803
736	Ally	376	607
737	Arely	376	717
738	Leona	376	734
739	Patricia	376	680
740	Sky	376	887
741	Thalia	375	848
742	Carolyn	374	791
743	Emory	373	799
744	Nataly	373	624
745	Paityn	373	666
746	Shayla	373	672
747	Averi	372	730
748	Jazlynn	372	679
749	Margot	372	944
750	Lisa	371	773
751	Lizbeth	370	702
752	Nancy	369	689
753	Deborah	368	814
754	Ivory	368	866
755	Khaleesi	368	1021
756	Elliot	367	842
757	Meadow	367	971
758	Yareli	367	658
759	Farrah	366	615
760	Milania	366	796
761	Janessa	365	695
762	Milana	365	772
763	Zoie	363	663
764	Adele	362	644
765	Clarissa	362	708
766	Hunter	362	930
767	Lina	362	862
768	Oakley	362	928
769	Sariah	362	669
770	Emmalynn	361	840
771	Galilea	361	794
772	Hailee	361	721
773	Halle	361	694
774	Sutton	361	832
775	Giana	359	684
776	Thea	359	1139
777	Denise	358	760
778	Naya	358	1023
779	Kristina	357	770
780	Liv	357	927
781	Nathaly	357	811
782	Wendy	357	703
783	Aubrielle	355	829
784	Brenna	355	682
785	Carter	355	859
786	Danika	355	752
787	Monroe	354	763
788	Celia	353	765
789	Dana	353	728
790	Jolie	353	769
791	Taliyah	353	812
792	Casey	352	726
793	Miley	352	388
794	Yamileth	352	802
795	Jaylene	351	722
796	Saylor	350	906
797	Joyce	349	824
798	Milena	349	843
799	Zariyah	349	775
800	Sandra	348	766
801	Ariadne	347	1224
802	Aviana	346	884
803	Mollie	346	710
804	Cherish	345	781
805	Alaya	344	797
806	Asia	344	741
807	Nola	342	786
808	Penny	342	993
809	Dixie	341	876
810	Marisol	341	792
811	Adrienne	339	776
812	Rylan	339	816
813	Kori	338	943
814	Kristen	338	713
815	Aimee	337	756
816	Esme	337	929
817	Laurel	337	873
818	Aliza	336	931
819	Roselyn	336	821
820	Sloan	336	867
821	Lorelai	335	800
822	Jenny	334	804
823	Katalina	334	870
824	Lara	334	872
825	Amya	332	638
826	Ayleen	332	747
827	Aubri	331	849
828	Ariya	330	918
829	Carlee	330	744
830	Iliana	330	787
831	Magnolia	330	981
832	Aurelia	329	833
833	Elliott	329	904
834	Evalyn	329	934
835	Natalee	329	686
836	Rayna	329	740
837	Heather	328	837
838	Collins	327	1000
839	Estrella	326	651
840	Rory	326	903
841	Hana	325	768
842	Kenna	325	997
843	Jordynn	324	809
844	Rosie	324	883
845	Aiyana	323	733
846	America	323	777
847	Angeline	323	853
848	Janiya	323	790
849	Jessa	323	1188
850	Tegan	323	851
851	Susan	321	844
852	Emmalee	320	778
853	Taryn	320	738
854	Temperance	320	892
855	Alissa	319	731
856	Kenia	319	864
857	Abbigail	318	745
858	Briley	318	764
859	Kailee	318	735
860	Zaria	318	813
861	Chana	316	788
862	Lillianna	316	750
863	Barbara	315	838
864	Carla	315	858
865	Aliya	314	754
866	Bonnie	313	1053
867	Keyla	313	805
868	Marianna	313	901
869	Paloma	312	755
870	Jewel	311	899
871	Joslyn	311	720
872	Saniyah	311	827
873	Audriana	310	939
874	Giovanna	310	962
875	Hadleigh	310	1054
876	Mckayla	310	715
877	Jaida	309	782
878	Salma	309	822
879	Sharon	309	882
880	Emmaline	308	961
881	Kimora	308	783
882	Wynter	307	949
883	Avianna	306	920
884	Amalia	305	932
885	Karlie	305	905
886	Kaidence	304	979
887	Kairi	304	855
888	Libby	304	895
889	Sherlyn	304	670
890	Diamond	303	712
891	Holland	302	1158
892	Zendaya	302	1305
893	Mariyah	301	784
894	Zainab	301	967
895	Alisha	300	869
896	Ayanna	300	830
897	Ellison	300	946
898	Harlee	300	942
899	Lilyanna	300	919
900	Bryleigh	299	839
901	Julianne	299	819
902	Kaleigh	299	850
903	Miya	299	877
904	Yasmin	299	818
905	Anniston	298	1156
906	Estelle	298	978
907	Emmeline	297	1026
908	Faye	297	1010
909	Kiana	296	795
910	Anabel	295	900
911	Zion	295	820
912	Tara	294	912
913	Astrid	293	989
914	Emerie	293	940
915	Sidney	292	911
916	Zahra	292	897
917	Jaylin	291	742
918	Kinslee	291	1123
919	Tabitha	291	759
920	Aubriella	290	1002
921	Addilynn	289	1066
922	Alyvia	289	806
923	Hadlee	289	889
924	Ingrid	289	893
925	Lilia	289	909
926	Macey	289	921
927	Azaria	287	913
928	Kaitlynn	287	841
929	Neriah	287	954
930	Annabell	286	958
931	Ariyah	286	845
932	Janae	286	828
933	Kaiya	286	973
934	Reina	286	1094
935	Rivka	286	957
936	Alisa	285	1052
937	Marleigh	285	970
938	Alisson	284	950
939	Maliah	284	793
940	Mercy	284	854
941	Noa	284	1012
942	Scarlette	284	874
943	Clementine	283	1100
944	Frida	283	1213
945	Ann	282	916
946	Sonia	282	863
947	Alannah	281	861
948	Avalynn	281	1182
949	Dalia	281	1046
950	Ayva	280	1226
951	Stevie	280	1113
952	Judith	279	996
953	Paulina	279	825
954	Azariah	278	1104
955	Estella	278	888
956	Remy	278	1125
957	Gwen	277	947
958	Mattie	277	1038
959	Milani	277	1090
960	Raina	277	894
961	Julieta	276	1136
962	Renee	276	902
963	Lesly	275	834
964	Abrielle	274	945
965	Bryn	274	798
966	Carlie	274	871
967	Riya	274	1007
968	Karter	273	1377
969	Abril	272	868
970	Aubrianna	272	817
971	Jocelynn	271	801
972	Kylah	271	963
973	Louisa	271	1022
974	Pyper	271	1035
975	Antonia	270	1030
976	Magdalena	270	1138
977	Moriah	270	948
978	Ryann	270	994
979	Tamia	270	956
980	Kailani	269	964
981	Landry	269	1063
982	Aya	268	1045
983	Ireland	268	984
984	Mercedes	268	860
985	Rosalyn	268	1240
986	Alaysia	267	987
987	Annalee	267	933
988	Patience	267	891
989	Aanya	266	1070
990	Paula	266	847
991	Samiyah	266	880
992	Yaritza	266	852
993	Cordelia	264	1194
994	Micah	264	878
995	Nala	264	1064
996	Belen	263	898
997	Cambria	263	1004
998	Natalya	263	976
999	Kaelynn	262	1005
1000	Kai	262	915
